trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status
55,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,106,0,95,12,0,0,0,320,110,210,216,104,0,collision_intent:110;pi_entry:104;state:106,887,38,completed
56,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,113,0,103,11,0,0,0,329,113,216,226,103,0,collision_intent:113;pi_entry:103;state:113,943,10,completed
56,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,111,0,79,33,0,0,0,313,113,200,224,89,0,collision_intent:113;pi_entry:89;state:111,951,18,completed
56,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,110,0,77,34,0,0,0,313,112,201,222,91,0,collision_intent:112;pi_entry:91;state:110,944,26,completed
56,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,112,0,102,11,0,0,0,328,113,215,225,103,0,collision_intent:113;pi_entry:103;state:112,912,42,completed
57,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,118,0,98,21,0,0,0,341,121,220,239,102,0,collision_intent:121;pi_entry:102;state:118,957,31,completed
57,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,115,0,91,25,0,0,0,331,117,214,232,99,0,collision_intent:117;pi_entry:99;state:115,972,25,completed
57,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,115,0,92,24,0,0,0,332,118,214,233,99,0,collision_intent:118;pi_entry:99;state:115,982,14,completed
57,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,111,0,80,32,0,0,0,325,117,208,228,97,0,collision_intent:117;pi_entry:97;state:111,949,54,completed
58,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,115,0,80,36,0,0,0,328,116,212,231,97,0,collision_intent:116;pi_entry:97;state:115,937,59,completed
58,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,114,0,102,13,0,0,0,333,116,217,230,103,0,collision_intent:116;pi_entry:103;state:114,977,15,completed
58,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,114,0,85,30,0,0,0,325,116,209,230,95,0,collision_intent:116;pi_entry:95;state:114,962,37,completed
58,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,115,0,94,22,0,0,0,339,119,220,234,105,0,collision_intent:119;pi_entry:105;state:115,963,22,completed
59,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,102,0,89,14,0,0,0,302,104,198,206,96,0,collision_intent:104;pi_entry:96;state:102,872,24,completed
59,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,102,0,101,2,0,0,0,306,104,202,206,100,0,collision_intent:104;pi_entry:100;state:102,858,35,completed
