scenario,grid_size,target_cells_per_robot,robot_count,comm_label,algorithm,mean_max_agent_steps,condition_rank,percent_above_condition_best,attempted_n,completed_n,eligible_n,failed_n
CV,25,50,13,ideal,CBAA,24.1041666666667,3,2.75310834813528,50,50,48,0
CV,25,50,13,ideal,ACBBA,30.0208333333333,4,27.9751332149201,50,48,48,2
CV,25,50,13,ideal,PI,42.6041666666667,5,81.6163410301958,50,50,48,0
CV,25,50,13,ideal,HIPC,45.5833333333333,6,94.3161634103021,50,50,48,0
CV,25,50,13,ideal,DMCHBA,23.4583333333333,1,0,50,50,48,0
CV,25,50,13,ideal,DGA,23.8541666666667,2,1.68738898756689,50,50,48,0
CV,25,50,13,bernoulli_025,CBAA,24.25,2,0.954032957502308,50,50,48,0
CV,25,50,13,bernoulli_025,ACBBA,32.6666666666667,4,35.9930615784912,50,50,48,0
CV,25,50,13,bernoulli_025,PI,43.4375,5,80.832610581093,50,50,48,0
CV,25,50,13,bernoulli_025,HIPC,45,6,87.3373807458806,50,49,48,1
CV,25,50,13,bernoulli_025,DMCHBA,24.0208333333333,1,0,50,49,48,1
CV,25,50,13,bernoulli_025,DGA,24.7291666666667,3,2.94882914137062,50,50,48,0
CV,25,85,8,ideal,CBAA,25.18,3,2.52442996742671,50,50,50,0
CV,25,85,8,ideal,ACBBA,30.22,4,23.0456026058632,50,50,50,0
CV,25,85,8,ideal,PI,44.16,5,79.8045602605863,50,50,50,0
CV,25,85,8,ideal,HIPC,45.22,6,84.1205211726384,50,50,50,0
CV,25,85,8,ideal,DMCHBA,24.58,2,0.0814332247556986,50,50,50,0
CV,25,85,8,ideal,DGA,24.56,1,0,50,50,50,0
CV,25,85,8,bernoulli_025,CBAA,26.48,3,5.07936507936508,50,50,50,0
CV,25,85,8,bernoulli_025,ACBBA,33.94,4,34.6825396825397,50,50,50,0
CV,25,85,8,bernoulli_025,PI,44.56,6,76.8253968253968,50,50,50,0
CV,25,85,8,bernoulli_025,HIPC,43.66,5,73.2539682539683,50,50,50,0
CV,25,85,8,bernoulli_025,DMCHBA,25.64,2,1.74603174603175,50,50,50,0
