trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,debug_max_events,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed
52,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,618,618,0,361,261,0,0,0,2458,4185,3189,,632,1826,1250,1208,0,0,0.5821467688937568,6.808864265927978,0.0,1.9546925566343043,0.0,3.3462603878116344,collision_intent:632;pi_clear_path:1;pi_entry:1207;state:618,299,881,0.456371191135734
53,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,853,853,0,361,496,0,0,0,3066,5206,3991,,862,2204,1715,1351,0,0,0.6036908183330812,8.493074792243767,0.0,1.5838218053927315,0.0,3.742382271468144,collision_intent:862;pi_entry:1351;state:853,432,1247,0.6890581717451523
54,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 54. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
55,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 55. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
56,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,686,686,0,361,329,0,0,0,2548,4418,3225,,705,1843,1391,1157,0,0,0.5833936324167872,7.058171745152355,0.0,1.686588921282799,0.0,3.2049861495844874,collision_intent:705;pi_clear_path:1;pi_entry:1156;state:686,286,844,0.39404432132963985
57,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,794,794,0,361,437,0,0,0,2587,4617,3142,,820,1767,1614,973,0,0,0.5929420645404794,7.166204986149585,0.0,1.2254408060453401,0.0,2.6952908587257616,collision_intent:820;pi_entry:973;state:794,268,780,0.29155124653739617
58,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,671,671,0,361,314,0,0,0,2382,4173,2972,,693,1689,1364,1018,0,0,0.5866561389656534,6.598337950138504,0.0,1.5171385991058122,0.0,2.8199445983379503,collision_intent:693;pi_entry:1018;state:671,261,771,0.30124653739612195
59,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,705,705,0,361,348,0,0,0,2767,4780,3521,,739,2028,1444,1323,0,0,0.5787310979618672,7.664819944598338,0.0,1.876595744680851,0.0,3.664819944598338,collision_intent:739;pi_entry:1323;state:705,301,929,0.32340720221606656
60,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 60. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
61,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 61. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
